user_id,age,employment_type,monthly_income,monthly_expenses,monthly_savings,education_loan,personal_loan,home_loan,vehicle_loan,credit_card_due,total_loans,investment_stocks,investment_crypto,investment_commodities,investment_bonds,credit_score,emergency_fund_months,debt_to_income_ratio,financial_health_score,risk_category
U500000,26,Self-Employed,103592,66801,15841,204283,753159,2837377,593420,49166,4388239,288740,47971,78556,428305,525,5,3.53,42.0,Medium
U500001,33,Self-Employed,37309,15230,9420,32533,201823,1729660,671356,10904,2635372,91470,57290,35937,216374,579,11,5.89,60.0,Medium
U500002,42,Salaried,125475,58446,28195,547729,209571,3862777,1602978,10327,6223055,126640,51856,92862,314733,849,6,4.13,57.0,Medium
U500003,54,Salaried,220475,143362,47662,790594,742243,1843331,2468222,32687,5844390,1059983,75668,377179,1199000,438,3,2.21,41.0,Medium
U500004,25,Student,11888,9792,2096,19214,24896,0,0,1563,44110,2774,3675,740,19775,748,2,0.31,42.0,Medium
U500005,18,Student,5821,4118,1703,29658,5389,0,0,144,35047,3133,1203,1215,5967,808,8,0.5,58.0,Medium
U500006,30,Salaried,207684,119839,50573,997498,1407868,7430499,3606128,31365,13441993,822245,346653,179617,727047,712,7,5.39,58.0,Medium
U500007,43,Business,201497,109409,63673,361103,1433886,2092808,174184,6313,4061981,183863,310923,202437,911454,716,9,1.68,62.0,Medium
U500008,29,Student,6740,4305,2435,34604,6093,0,0,36,40697,1,0,1,8,684,2,0.5,44.0,Medium
U500009,35,Salaried,112845,57574,19354,499493,360519,3734577,804646,20565,5399235,286889,81366,72758,299167,379,0,3.99,27.0,High
U500010,35,Self-Employed,103588,56155,16562,456823,36606,3915703,1664690,40652,6073822,216708,72882,131100,247163,751,6,4.89,52.0,Medium
U500011,58,Salaried,167432,105882,27074,681206,798544,7622996,910611,29618,10013357,220907,323855,105962,1455736,759,6,4.98,57.0,Medium
U500012,33,Salaried,120385,84183,34699,387410,138801,3264827,1565056,54972,5356094,231401,47279,65520,360917,457,10,3.71,50.0,Medium
U500013,23,Student,9298,7358,1940,48730,14932,0,0,1652,63662,6403,1086,602,18378,453,0,0.57,28.0,High
U500014,56,Business,116201,47380,40234,25803,498266,4400570,466537,43341,5391176,62360,193058,172930,618924,574,8,3.87,57.0,Medium
U500015,42,Salaried,73397,52271,23937,311634,641973,3424778,1249504,30112,5627889,162023,334,43372,659545,699,0,6.39,50.0,Medium
U500016,36,Salaried,109952,50126,15535,23105,234771,2656262,643247,12400,3557385,95080,117869,124253,764045,416,6,2.7,40.0,Medium
U500017,58,Self-Employed,171673,75554,57572,1019970,1513292,1850155,2279747,67349,6663164,442329,245644,350911,1010438,363,4,3.23,43.0,Medium
U500018,20,Student,13835,9239,4596,16549,31009,0,0,703,47558,1507,2699,5409,17810,767,7,0.29,57.0,Medium
U500019,54,Salaried,226472,130838,43184,432137,515448,3749539,703978,106657,5401102,936131,215091,298914,1559870,356,5,1.99,41.0,Medium
U500020,29,Student,16120,11012,5108,79277,23417,0,0,490,102694,1132,1177,7723,31561,386,5,0.53,37.0,High
U500021,45,Self-Employed,25181,13716,7696,60920,127481,860674,113646,7676,1162721,29572,36897,31366,145085,374,0,3.85,34.0,High
U500022,35,Salaried,206918,113070,60198,102787,1475026,5102110,3474691,48732,10154614,74246,106573,188201,953716,332,11,4.09,48.0,Medium
U500023,24,Salaried,242630,126117,53788,7064,569415,4257616,2260939,6391,7095034,82935,65720,56739,622607,301,10,2.44,40.0,Medium
U500024,30,Salaried,241038,120413,31661,760832,1689662,2999823,1873329,8780,7323646,78577,255275,488525,1737367,359,10,2.53,45.0,Medium
U500025,59,Business,197873,97284,34333,759733,834196,2711830,291331,33918,4597090,113143,16778,156613,1142653,385,3,1.94,33.0,High
U500026,57,Self-Employed,147758,83561,16863,19996,24802,4918709,416833,21471,5380340,99037,98892,76931,324350,322,10,3.03,37.0,High
U500027,36,Self-Employed,218523,120777,76002,33259,1149984,7673499,382137,58655,9238879,30298,27975,164824,954155,706,11,3.52,64.0,Medium
U500028,26,Student,13059,6944,6115,63863,18554,0,0,1200,82417,1248,2556,1465,34212,418,4,0.53,43.0,Medium
